"FPR","TPR"
1,1
0.998979889245118,0.99909338168631
0.366365491110463,0.917497733454216
0.365199650247741,0.916137805983681
0.314631302827164,0.900725294650952
0.313465461964442,0.900271985494107
0.310988050131157,0.898005439709882
0.289857184494317,0.884406165004533
0.287816962984553,0.881686310063463
0.27105800058292,0.866727107887579
0.270329350043719,0.866727107887579
0.127513844360245,0.728467815049864
0.122413290585835,0.71894832275612
0.121101719615272,0.716681776971895
0.116584086272224,0.70897552130553
0.116001165840863,0.705802357207616
0.114835324978141,0.701269265639166
0.113815214223259,0.699456029011786
0.110609151850772,0.691749773345422
0.107986009909647,0.685403445149592
0.105654328184203,0.682230281051677
0.10405129699796,0.680417044424297
0.063538327018362,0.611967361740707
0.0587292334596328,0.603354487760653
0.0545030603322646,0.593381686310063
0.0529000291460215,0.587941976427924
0.0517341882832993,0.582502266545784
0.0494025065578548,0.57388939256573
0.037015447391431,0.523118766999093
0.0355581463130282,0.520852221214869
0.034392305450306,0.514052583862194
0.0335179248032643,0.510879419764279
0.031769163509181,0.502266545784225
0.0304575925386185,0.498640072529465
0.030166132322938,0.495013599274705
0.00291460215680561,0.260199456029012
0.00291460215680561,0.258839528558477
0.00276887204896537,0.252946509519492
0.00262314194112501,0.239347234814143
0.00189449140192366,0.202629193109701
0.00131157097056256,0.158204895738894
0.00131157097056256,0.136446056210335
0.000874380647041706,0.085222121486854
0.000874380647041706,0.0013599274705349
0,0
