"FPR","TPR"
1,1
0.367385601865345,0.918404351767906
0.366219761002623,0.917044424297371
0.315651413582046,0.901631912964642
0.314485572719324,0.901178603807797
0.312008160886039,0.898912058023572
0.290877295249198,0.885312783318223
0.274118332847566,0.870353581142339
0.273389682308365,0.870353581142339
0.130574176624891,0.732094288304624
0.125473622850481,0.722574796010879
0.124162051879918,0.720308250226655
0.11964441853687,0.71260199456029
0.116146895948703,0.703535811423391
0.114981055085981,0.699002719854941
0.113960944331099,0.697189483227561
0.110754881958613,0.689483227561197
0.0702419119790149,0.621033544877607
0.0677645001457301,0.617860380779692
0.0629554065870008,0.609247506799637
0.0587292334596328,0.599274705349048
0.0498396968813757,0.57570262919311
0.0374526377149519,0.524932003626473
0.0359953366365491,0.522665457842248
0.0348294957738269,0.515865820489574
0.0330807344797435,0.507252946509519
0.031769163509181,0.50362647325476
0.0310405129699796,0.497733454215775
0.00233168172544451,0.253853127833182
0.00233168172544451,0.252493200362647
0.00218595161760415,0.238893925657298
0.00145730107840281,0.202175883952856
0.000874380647041706,0.157751586582049
0.000874380647041706,0.13599274705349
0.000437190323520853,0.0847688123300091
0.000437190323520853,0.000906618313689937
0,0
